"Species_name"
"Lethrinus semicinctus"
"Parupeneus heptacanthus"
"Elagatis bipinnulata"
"Paramonacanthus curtorhynchos"
"Heniochus diphreutes"
"Heteroconger hassi"
"Lethrinus rubrioperculatus"
"Gymnocranius superciliosus"
"Scolopsis affinis"
"Parapercis hexophthalma"
"Lutjanus sebae"
"Choerodon jordani"
"Hologymnosus longipes"
"Abalistes filamentosus"
"Oxycheilinus nigromarginatus"
"Mulloidichthys pfluegeri"
"Selar crumenophthalmus"
"Pomacentrus nigromarginatus"
"Sufflamen fraenatum"
"Carangoides oblongus"
"Malacanthus brevirostris"
"Sphyraena qenie"
"Abalistes stellatus"
"Naso lopezi"
"Pristipomoides filamentosus"
"Seriola rivoliana"
"Halichoeres hartzfeldii"
"Aluterus scriptus"
"Chrysiptera starcki"
"Anampses melanurus"
"Xanthichthys caeruleolineatus"
"Chlorurus sordidus"
"Cyprinocirrhites polyactis"
"Bodianus bimaculatus"
"Cirrhilabrus bathyphilus"
"Oxycheilinus bimaculatus"
"Orectolobus ornatus"
"Chrysiptera tricincta"
"Pentapodus nagasakiensis"
"Pseudalutarius nasicornis"
"Chaetodon guentheri"
"Arothron caeruleopunctatus"
"Cephalopholis sonnerati"
"Naso minor"
"Xanthichthys auromarginatus"
"Remora remora"
"Leptojulis cyanopleura"
"Taeniurops meyeni"
"Coris pictoides"
"Halichoeres melasmapomus"
"Pseudanthias hypselosoma"
"Pseudanthias pictilis"
